DATE,AIRLINES,ORIGIN,DESTINATION,FLIGHT_NUMB,COLLY, WEIGHT,CUSTOMER,CUST_ID,SERVICE,COST_A,COST_B,COST_C,PRICE
01/Jul/2024,CITILINK,JAKARTA,BALIK PAPAN,QG-0436,1,"  12,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,15984,4343,1258,25500
01/Jul/2024,CITILINK,JAKARTA,PONTIANAK,QG-0414,21,"  232,00 ",PT ADANI SUBUR MAKMUR,ADM,DTD,10878,4343,2450,21400
01/Jul/2024,CITILINK,JAKARTA,MEDAN,QG-0916,1,"  15,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,9324,4343,2809,17900
01/Jul/2024,CITILINK,JAKARTA,DENPASAR,QG-0660,38,"  520,00 ",PT ADANI SUBUR MAKMUR,ADM,DTD,8103,4343,2200,16850
01/Jul/2024,CITILINK,JAKARTA,PANGKAL PINANG,QG-0972,3,"  35,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,8991,4343,0,16501
01/Jul/2024,CITILINK,JAKARTA,MEDAN,QG-0978,1,"  15,00 ",PT ADANI SUBUR MAKMUR,ADM,DTD,9324,4343,2809,20200
01/Jul/2024,CITILINK,JAKARTA,PONTIANAK,QG-0416,15,"  252,00 ",PT ADANI SUBUR MAKMUR,ADM,DTD,10878,4343,2450,21400
01/Jul/2024,CITILINK,JAKARTA,BANJARMASIN,QG-0480,15,"  254,00 ",PT ADANI SUBUR MAKMUR,ADM,DTD,13542,4343,1367,22900
01/Jul/2024,CITILINK,JAKARTA,DENPASAR,QG-0660,32,"  464,00 ",PT ADANI SUBUR MAKMUR,ADM,DTD,8103,4343,2200,16850
01/Jul/2024,CITILINK,JAKARTA,KENDARI,QG-0330,8,"  73,00 ",PT ADANI SUBUR MAKMUR,ADM,DTD,20424,4343,1665,38850
01/Jul/2024,GARUDA,JAKARTA,ACEH,GA-0140,13,"  120,00 ",PT BAYA SKENA MENYALA,BSM,DTD,25752,4343,1210,33580
01/Jul/2024,CITILINK,JAKARTA,PADANG,QG-0952,4,"  38,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,9768,4343,1621,17701
01/Jul/2024,GARUDA,JAKARTA,ACEH,GA-0140,1,"  10,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,25752,4343,1210,37000
01/Jul/2024,CITILINK,JAKARTA,DENPASAR,QG-0684,33,"  296,00 ",PT ADANI SUBUR MAKMUR,ADM,DTD,8103,4343,2200,16850
01/Jul/2024,CITILINK,JAKARTA,BALIK PAPAN,QG-0436,2,"  28,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,15984,4343,1258,23200
01/Jul/2024,CITILINK,JAKARTA,KUPANG,QG-0602,4,"  71,00 ",PT DINDA SETIA KIRANA,DSK,PTP,28638,4343,2850,32585
01/Jul/2024,CITILINK,JAKARTA,PALANGKARAYA,QG-0452,2,"  15,00 ",PT FAJRI ABANGDA PRATAMA,FAP,PTP,10656,4343,1199,20101
01/Jul/2024,GARUDA,JAKARTA,BATAM,GA-0150,21,"  298,00 ",PT ADANI SUBUR MAKMUR,ADM,DTD,12432,4343,2280,23740
