DATE,AIRLINES,ORIGIN,DESTINATION,FLIGHT_NUMB,COLLY,WEIGHT,CUSTOMER,CUST_ID,SERVICE,COST_A,COST_B,COST_C,PRICE,TOTAL_COST,REVENUE,PROFIT,COST_RATIO
2024-07-01,CITILINK,JAKARTA,DENPASAR,QG-0686,1,13.0,PT FAJRI ABANGDA PRATAMA,FAP,PTP,8103,4343,2200,15301,12446,198913.0,186467.0,0.0625700683213264
2024-07-01,CITILINK,JAKARTA,BENGKULU,QG-0990,1,13.0,PT FAJRI ABANGDA PRATAMA,FAP,PTP,9213,4343,0,15701,13556,204113.0,190557.0,0.06641419213866828
2024-07-01,CITILINK,JAKARTA,SURABAYA,QG-9716,2,24.0,PT DINDA SETIA KIRANA,DSK,PTP,6105,4343,2500,5985,10448,143640.0,133192.0,0.07273739905318853
2024-07-01,CITILINK,JAKARTA,DENPASAR,QG-0686,2,26.0,PT DINDA SETIA KIRANA,DSK,PTP,8103,4343,2200,9025,12446,234650.0,222204.0,0.05304069891327509
2024-07-01,GARUDA,JAKARTA,TANJUNG PINANG,GA-0288,5,63.0,PT DINDA SETIA KIRANA,DSK,PTP,16650,4343,2233,17900,20993,1127700.0,1106707.0,0.01861576660459342
2024-07-01,CITILINK,JAKARTA,MAKASSAR,QG-7344,4,42.0,PT FAJRI ABANGDA PRATAMA,FAP,PTP,13653,4343,1594,26901,17996,1129842.0,1111846.0,0.01592789080243078
2024-07-01,CITILINK,JAKARTA,PADANG,QG-0962,4,50.0,PT DINDA SETIA KIRANA,DSK,PTP,9768,4343,1621,11495,14111,574750.0,560639.0,0.024551544149630275
2024-07-01,CITILINK,JAKARTA,PALEMBANG,QG-0884,1,10.0,PT DINDA SETIA KIRANA,DSK,PTP,8103,4343,2253,8360,12446,83600.0,71154.0,0.1488755980861244
2024-07-01,CITILINK,JAKARTA,MEDAN,QG-0916,2,29.0,PT DINDA SETIA KIRANA,DSK,PTP,9324,4343,2809,11300,13667,327700.0,314033.0,0.041705828501678366
2024-07-01,CITILINK,JAKARTA,AMBON,QG-0210,2,21.0,PT FAJRI ABANGDA PRATAMA,FAP,PTP,27639,4343,1850,37900,31982,795900.0,763918.0,0.040183440130669684
2024-07-01,CITILINK,JAKARTA,BALIK PAPAN,QG-0424,1,13.0,PT FAJRI ABANGDA PRATAMA,FAP,PTP,15984,4343,1258,25500,20327,331500.0,311173.0,0.061318250377073905
2024-07-01,GARUDA,JAKARTA,JAYAPURA,GA-0656,4,73.0,PT DINDA SETIA KIRANA,DSK,PTP,54612,4343,0,64700,58955,4723100.0,4664145.0,0.012482268001947874
2024-07-01,CITILINK,JAKARTA,SURABAYA,QG-0252,2,38.0,PT DINDA SETIA KIRANA,DSK,PTP,6105,4343,2500,5985,10448,227430.0,216982.0,0.045939409928329594
2024-07-01,CITILINK,JAKARTA,BALIK PAPAN,QG-0438,5,81.0,PT DINDA SETIA KIRANA,DSK,PTP,15984,4343,1258,17200,20327,1393200.0,1372873.0,0.014590152167671547
2024-07-01,CITILINK,JAKARTA,BALIK PAPAN,QG-0436,1,10.0,PT FAJRI ABANGDA PRATAMA,FAP,PTP,15984,4343,1258,31200,20327,312000.0,291673.0,0.06515064102564103
2024-07-01,CITILINK,JAKARTA,BANJARMASIN,QG-0480,2,10.0,PT FAJRI ABANGDA PRATAMA,FAP,PTP,13542,4343,1367,20500,17885,205000.0,187115.0,0.08724390243902438
2024-07-01,CITILINK,JAKARTA,TARAKAN,QG-0438,2,24.0,PT FAJRI ABANGDA PRATAMA,FAP,PTP,21534,4343,1850,35301,25877,847224.0,821347.0,0.03054328017147767
2024-07-01,CITILINK,JAKARTA,PANGKAL PINANG,QG-0970,1,13.0,PT DINDA SETIA KIRANA,DSK,PTP,8991,4343,0,10260,13334,133380.0,120046.0,0.09997001049632628
2024-07-01,CITILINK,JAKARTA,PADANG,QG-0952,2,19.0,PT FAJRI ABANGDA PRATAMA,FAP,PTP,9768,4343,1621,18300,14111,347700.0,333589.0,0.040583836640782286
2024-07-01,CITILINK,JAKARTA,PONTIANAK,QG-0416,2,31.0,PT FAJRI ABANGDA PRATAMA,FAP,PTP,10878,4343,2450,23100,15221,716100.0,700879.0,0.021255411255411256
2024-07-01,CITILINK,JAKARTA,BANJARMASIN,QG-0480,1,13.0,PT FAJRI ABANGDA PRATAMA,FAP,PTP,13542,4343,1367,26100,17885,339300.0,321415.0,0.052711464780430296
2024-07-01,CITILINK,JAKARTA,PALEMBANG,QG-0884,3,60.0,PT DINDA SETIA KIRANA,DSK,PTP,8103,4343,2253,8360,12446,501600.0,489154.0,0.024812599681020734
2024-07-01,CITILINK,JAKARTA,PEKANBARU,QG-0938,1,14.0,PT FAJRI ABANGDA PRATAMA,FAP,PTP,9768,4343,1698,22600,14111,316400.0,302289.0,0.044598609355246524
2024-07-01,CITILINK,JAKARTA,PADANG,QG-0958,9,112.0,PT FAJRI ABANGDA PRATAMA,FAP,PTP,9768,4343,1621,17701,14111,1982512.0,1968401.0,0.00711773749667089
2024-07-01,CITILINK,JAKARTA,BATAM,QG-0940,1,13.0,PT FAJRI ABANGDA PRATAMA,FAP,PTP,10545,4343,2280,21700,14888,282100.0,267212.0,0.052775611485288906
2024-07-01,CITILINK,JAKARTA,PONTIANAK,QG-0410,2,19.0,PT FAJRI ABANGDA PRATAMA,FAP,PTP,10878,4343,2450,21600,15221,410400.0,395179.0,0.03708820662768031
2024-07-01,GARUDA,JAKARTA,PEKANBARU,GA-0172,1,10.0,PT FAJRI ABANGDA PRATAMA,FAP,PTP,11322,4343,1698,21500,15665,215000.0,199335.0,0.07286046511627907
2024-07-01,CITILINK,JAKARTA,BALIK PAPAN,QG-0436,4,80.0,PT FAJRI ABANGDA PRATAMA,FAP,PTP,15984,4343,1258,23200,20327,1856000.0,1835673.0,0.010952047413793103
2024-07-01,CITILINK,JAKARTA,MEDAN,QG-0912,1,20.0,PT FAJRI ABANGDA PRATAMA,FAP,PTP,9324,4343,2809,25300,13667,506000.0,492333.0,0.027009881422924903
2024-07-01,CITILINK,JAKARTA,MAKASSAR,QG-0344,2,43.0,PT FAJRI ABANGDA PRATAMA,FAP,PTP,13653,4343,1594,28700,17996,1234100.0,1216104.0,0.014582286686654242
2024-07-01,CITILINK,JAKARTA,PEKANBARU,QG-0936,1,11.0,PT FAJRI ABANGDA PRATAMA,FAP,PTP,9768,4343,1698,22600,14111,248600.0,234489.0,0.05676186645213194
2024-07-01,GARUDA,JAKARTA,MEDAN,GA-0184,2,37.0,PT FAJRI ABANGDA PRATAMA,FAP,PTP,13320,4343,2809,17900,17663,662300.0,644637.0,0.026669183149630078
2024-07-01,CITILINK,JAKARTA,DENPASAR,QG-0680,2,13.0,PT FAJRI ABANGDA PRATAMA,FAP,PTP,8103,4343,2200,17300,12446,224900.0,212454.0,0.05534015117830147
2024-07-01,CITILINK,JAKARTA,BATAM,QG-0968,1,10.0,PT FAJRI ABANGDA PRATAMA,FAP,PTP,10545,4343,2280,22100,14888,221000.0,206112.0,0.06736651583710407
2024-07-01,CITILINK,JAKARTA,TARAKAN,QG-0436,1,10.0,PT FAJRI ABANGDA PRATAMA,FAP,PTP,21534,4343,1850,39000,25877,390000.0,364123.0,0.06635128205128205
2024-07-01,CITILINK,JAKARTA,PALANGKARAYA,QG-0452,1,18.0,PT FAJRI ABANGDA PRATAMA,FAP,PTP,10656,4343,1199,22800,14999,410400.0,395401.0,0.03654727095516569
2024-07-01,CITILINK,JAKARTA,MEDAN,QG-0916,1,19.0,PT FAJRI ABANGDA PRATAMA,FAP,PTP,9324,4343,2809,25300,13667,480700.0,467033.0,0.028431454129394632
2024-07-01,CITILINK,JAKARTA,JAMBI,QG-0966,1,12.0,PT FAJRI ABANGDA PRATAMA,FAP,PTP,9768,4343,0,16700,14111,200400.0,186289.0,0.07041417165668663
2024-07-01,CITILINK,JAKARTA,DENPASAR,QG-0686,5,55.0,PT DINDA SETIA KIRANA,DSK,PTP,8103,4343,2200,9025,12446,496375.0,483929.0,0.02507378494082095
2024-07-01,CITILINK,JAKARTA,BATAM,QG-0944,19,218.0,PT FAJRI ABANGDA PRATAMA,FAP,PTP,10545,4343,2280,18900,14888,4120200.0,4105312.0,0.0036134168244259988
2024-07-01,CITILINK,JAKARTA,LOMBOK,QG-0640,1,10.0,PT FAJRI ABANGDA PRATAMA,FAP,PTP,11655,4343,4085,21000,15998,210000.0,194002.0,0.07618095238095238
2024-07-01,CITILINK,JAKARTA,PALANGKARAYA,QG-0452,2,35.0,PT DINDA SETIA KIRANA,DSK,PTP,10656,4343,1199,12000,14999,420000.0,405001.0,0.035711904761904764
2024-07-01,CITILINK,JAKARTA,MAKASSAR,QG-0426,11,190.0,PT DINDA SETIA KIRANA,DSK,PTP,13653,4343,1594,15400,17996,2926000.0,2908004.0,0.006150375939849624
2024-07-01,CITILINK,JAKARTA,SURABAYA,QG-9716,5,53.0,PT DINDA SETIA KIRANA,DSK,PTP,6105,4343,2500,5985,10448,317205.0,306757.0,0.03293769013729292
2024-07-01,CITILINK,JAKARTA,MEDAN,QG-0978,1,11.0,PT DINDA SETIA KIRANA,DSK,PTP,9324,4343,2809,11300,13667,124300.0,110633.0,0.10995172968624296
2024-07-01,GARUDA,JAKARTA,TIMIKA,GA-0664,2,10.0,PT DINDA SETIA KIRANA,DSK,PTP,74037,4343,0,86800,78380,868000.0,789620.0,0.09029953917050691
2024-07-01,CITILINK,JAKARTA,BALIK PAPAN,QG-0436,1,10.0,PT FAJRI ABANGDA PRATAMA,FAP,PTP,15984,4343,1258,29900,20327,299000.0,278673.0,0.06798327759197324
2024-07-01,CITILINK,JAKARTA,BANJARMASIN,QG-0480,1,10.0,PT FAJRI ABANGDA PRATAMA,FAP,PTP,13542,4343,1367,23400,17885,234000.0,216115.0,0.07643162393162393
2024-07-01,CITILINK,JAKARTA,MAKASSAR,QG-0340,10,114.0,PT DINDA SETIA KIRANA,DSK,PTP,13653,4343,1594,15400,17996,1755600.0,1737604.0,0.01025062656641604
2024-07-01,CITILINK,JAKARTA,PALANGKARAYA,QG-0452,15,100.0,PT FAJRI ABANGDA PRATAMA,FAP,PTP,10656,4343,1199,20101,14999,2010100.0,1995101.0,0.007461817820008955
2024-07-01,GARUDA,JAKARTA,BATAM,GA-0152,16,160.0,PT ADANI SUBUR MAKMUR,ADM,DTD,12432,4343,2280,23740,19055,3798400.0,3779345.0,0.005016585930918281
2024-07-01,GARUDA,JAKARTA,BATAM,GA-0150,1,18.0,PT FAJRI ABANGDA PRATAMA,FAP,PTP,12432,4343,2280,15800,16775,284400.0,267625.0,0.058983825597749645
2024-07-01,CITILINK,JAKARTA,SURABAYA,QG-0710,5,59.0,PT FAJRI ABANGDA PRATAMA,FAP,PTP,6105,4343,2500,8500,10448,501500.0,491052.0,0.020833499501495514
